Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.016139153,0.018616391,0.0
6.1,0.016139153,0.018616391,0.0
6.2,0.016139153,0.018616391,0.0
6.3,0.010933585,0.012354097,0.0
6.4,0.010933585,0.012354097,0.0
6.5,0.010066401,0.011342193,0.0
6.6,0.010056281,0.011331837,0.0
6.7,0.008688197,0.009750803,0.0
6.8,0.007417957,0.008303506,0.0
6.9,0.006485529,0.0072484035,0.0
7.0,0.00456803,0.00509081,0.0
7.1,0.0031813353,0.0035453162,0.0
7.2,0.0015325027,0.0017050814,0.0
7.3,3.7763783E-4,4.1736738E-4,0.0
7.4,1.6238733E-5,1.6727368E-5,0.0
